GAIL,145.70,2.47,oil&gas
Adani Total Gas,2924.95,0.62,oil&gas
Tata Steel,963.90,2.30,steel&metal
APL Apollo,937.25,1.89,steel&metal
NMDC,105.35,1.20,steel&metal
Jindal Steel,365.50,0.99,steel&metal
Hindalco,385.20,0.81,steel&metal
SAIL,75.90,0.40,steel&metal
Coal India,198.90,0.30,steel&metal
JSW Steel,588.20,0.28,steel&metal
Balkrishna Ind,2322.00,1.92,Automobile
MRF,81000.00,1.69,Automobile
Minda Ind,531.20,1.20,Automobile
Cummins,1217.00,0.13,Automobile
Adani Green Ene,2157.55,0.95,Power
Adani Trans,3020.05,0.84,Power
Tata Power,232.50,0.71,Power
Torrent Power,509.00,0.56,Power
Adani Power,293.80,0.19,Power
NTPC,149.95,0.13,Power
MphasiS,2329.75,1.78,Tech
Saregama India,409.80,1.46,Tech
Tata Elxsi,8519.70,1.45,Tech
Tata Comm,1081.00,1.00,Tech
HCL Tech,928.00,0.82,Tech
ITI,124.55,0.66,Tech
Bharti Airtel,686.55,0.47,Tech
Vodafone Idea,9.03,0.45,Tech
Network 18,64.70,0.24,Tech
Wipro,414.70,0.13,Tech
Lasa Supergener,46.00,11.98,healthcare
TTK Healthcare,849.80,6.10,healthcare
RPG Life,629.10,4.69,healthcare
Venus Remedies,245.70,3.40,healthcare
SMS Pharma,90.00,3.18,healthcare
Indraprastha,58.70,2.46,healthcare
Caplin Labs,824.90,2.33,healthcare
Guj Themis,487.00,1.92,healthcare
Shalby ,117.00,1.48,healthcare
Natco Pharma,674.00,1.43,healthcare
Max Healthcare,361.05,0.94,healthcare
AMI Organics,1025.00,0.92,healthcare
Krsnaa Diagnost,557.95,0.91,healthcare
Dr Lal PathLab,2123.80,0.83,healthcare
Thyrocare Techn,623.65,0.73,healthcare
Apollo Hospital,4253.25,0.59,healthcare
Syngene Intl,579.45,0.58,healthcare
Glenmark Life,473.00,0.50,healthcare
Alembic,72.45,0.49,healthcare
Bajaj Health,388.25,0.31,healthcare
Dishman Carboge,131.75,0.31,healthcare
Aarti Drugs,437.95,0.28,healthcare
Kopran,214.45,0.28,healthcare
Panacea Biotec,130.65,0.27,healthcare
Novartis India,660.00,0.20,healthcare
Medicamen Bio,715.95,0.16,healthcare
Pfizer,4206.55,0.15,healthcare
D-Link India,165.35,19.81,IT
Sonata,734.35,1.83,IT
Xelpmoc Design ,173.90,1.83,IT
Aurionpro Solut,309.00,1.79,IT
MphasiS,2329.75,1.78,IT
Sasken Tech,806.35,1.73,IT
Firstsource Sol,111.50,1.71,IT
Rategain Travel,318.50,1.61,IT
COFORGE LTD.,3834.00,1.54,IT
Tata Elxsi,8519.70,1.45,IT
Ramco System,316.75,1.26,IT
